"","X.100m","X.Long.jump","X.Shot.put","X.High.jump","X.400m","X.110m.hurdle","X.Discus","X.Pole.vault","X.Javeline","X.1500m"
"Roman Sebrle",10.85,7.84,16.36,2.12,48.36,14.05,48.72,5,70.52,280.01
"Bryan Clay",10.44,7.96,15.23,2.06,49.19,14.13,50.11,4.9,69.71,282
"Dmitriy Karpov",10.5,7.81,15.93,2.09,46.81,13.97,51.65,4.6,55.54,278.11
"Dean Macey",10.89,7.47,15.73,2.15,48.97,14.56,48.34,4.4,58.46,265.42
"Chiel Warners",10.62,7.74,14.48,1.97,47.97,14.01,43.73,4.9,55.39,278.05
"Attila Zsivoczky",10.91,7.14,15.31,2.12,49.4,14.95,45.62,4.7,63.45,269.54
"Laurent Hernu",10.97,7.19,14.65,2.03,48.73,14.25,44.72,4.8,57.76,264.35
"Erki Nool",10.8,7.53,14.26,1.88,48.81,14.8,42.05,5.4,61.33,276.33
"Claston Bernard",10.69,7.48,14.8,2.12,49.13,14.17,44.75,4.4,55.27,276.31
"Roland Schwarzl",10.98,7.49,14.01,1.94,49.76,14.25,42.43,5.1,56.32,273.56
"Aleksandr Pogorelov",10.95,7.31,15.1,2.06,50.79,14.21,44.6,5,53.45,287.63
"Florian Schönbeck",10.9,7.3,14.77,1.88,50.3,14.34,44.41,5,60.89,278.82
"Romain Barras",11.14,6.99,14.91,1.94,49.41,14.37,44.83,4.6,64.55,267.09
"Marice Smith",10.85,6.81,15.24,1.91,49.27,14.01,49.02,4.2,61.52,272.74
"Nikolay Averyanov",10.55,7.34,14.44,1.94,49.72,14.39,39.88,4.8,54.51,271.02
"Jaako Ojaniemi",10.68,7.5,14.97,1.94,49.12,15.01,40.35,4.6,59.26,275.71
"Vitaliy Smirnov",10.89,7.07,13.88,1.94,49.11,14.77,42.47,4.7,60.88,263.31
"Haifeng Qi",11.06,7.34,13.55,1.97,49.65,14.78,45.13,4.5,60.79,272.63
"Stefan Drews",10.87,7.38,13.07,1.88,48.51,14.01,40.11,5,51.53,274.21
"Aleksandr Parkhomenko",11.14,6.61,15.69,2.03,51.04,14.88,41.9,4.8,65.82,277.94
"Paul Terek",10.92,6.94,15.15,1.94,49.56,15.12,45.62,5.3,50.62,290.36
"David Gomez",11.08,7.26,14.57,1.85,48.61,14.41,40.95,4.4,60.71,269.7
"Indrek Turi",11.08,6.91,13.62,2.03,51.67,14.26,39.83,4.8,59.34,290.01
"Santiago Lorenzo",11.1,7.03,13.22,1.85,49.34,15.38,40.22,4.5,58.36,263.08
"Janis Karlivans",11.33,7.26,13.3,1.97,50.54,14.98,43.34,4.5,52.92,278.67
"Prodromos Korkizoglou",10.86,7.07,14.81,1.94,51.16,14.96,46.07,4.7,53.05,317
"Hans Olav Uldal",11.23,6.99,13.53,1.85,50.95,15.09,43.01,4.5,60,281.7
"Paolo Casarsa",11.36,6.68,14.92,1.94,53.2,15.39,48.66,4.4,58.62,296.12
"Eugene Martineau",10.99,6.84,NA,2,49.1,15.02,40,4.8,63.62,271.79
"Victor Covalenco",11.28,7.2,13.04,1.85,51.82,15.8,38.19,NA,53.46,263.81
